anno,artista,titolo,canale,righe_excel,bucket,motivo,nota_correzione,classificazione_aggiornata
2018,GUILFOYLE PAUL,AIR FORCE ONE,SKY CINEMA ACTION,23,D,film/cast ok o parziale ma non in output campagna,,no
2019,BIONDI LYDIA,MANGIA PREGA AMA,SKY CINEMA UNO,23,C,opera assente o non riconciliata in catalogo,,no
2019,YAMANOUCHI HARUHIKO,BANZAI,SKY CINEMA HITS/COLLECTION,23,C,artista assente in anagrafica,,no
2015,REMAR WILLIAM JAMES,DRUGSTORE COWBOY,SKY CINEMA CULT,22,D,film/cast ok o parziale ma non in output campagna,,no
2015,REMAR WILLIAM JAMES,I Guerrieri Della Notte,SKY CINEMA CLASSICS,22,D,film/cast ok o parziale ma non in output campagna,,no
2015,ROBERTS ERIC,NATIONAL SECURITY,SKY CINEMA COMEDY,22,D,film/cast ok o parziale ma non in output campagna,,no
2015,YOUNGS JOHN SMEALLIE,THE CROSSING GUARD,SKY CINEMA CULT,22,D,film/cast ok o parziale ma non in output campagna,,no
2016,ASSANTE ARMAND,Rischio A Due,SKY CINEMA MAX +1,22,D,film/cast ok o parziale ma non in output campagna,,no
2016,FARGAS JUAN ANTONIO,DON'T BE A MENACE TO SOUTH CENTRAL WHILE DRINKING YOUR JUICE IN THE HOOD,SKY CINEMA COMEDY,22,B,cast assente in catalogo (sull'opera collegata),,no
2016,MCNAMARA WILLIAM WEST,AMBUSHED,SKY CINEMA MAX+1,22,D,film/cast ok o parziale ma non in output campagna,,no
2016,REMAR WILLIAM JAMES,I Cavalieri Dalle Lunghe Ombre,SKY CINEMA CLASSICS,22,D,film/cast ok o parziale ma non in output campagna,,no
2017,YOUNGS JOHN SMEALLIE,BERMUDA TENTACLES,SKY CINEMA MAX +1,22,D,film/cast ok o parziale ma non in output campagna,,no
2018,DAVITIAN KENNETH,MEET THE SPARTANS,TV8,22,D,film/cast ok o parziale ma non in output campagna,,no
2018,REMAR WILLIAM JAMES,USS INDIANAPOLIS: MEN OF COURAGE,SKY CINEMA STARS HD,22,D,film/cast ok o parziale ma non in output campagna,,no
2018,SCHIENA ANTONIO,THE NUMBER ONE GIRL,SKY CINEMA MAX,22,D,film/cast ok o parziale ma non in output campagna,,no
2017,PARE MICHAEL,Philadelphia Experiment,SKY CINEMA MAX COLLECTION,21,D,film/cast ok o parziale ma non in output campagna,,no
2015,ORLANDO ILARIA,BAD TEACHER - UNA CATTIVA MAESTRA,SKY CINEMA HITS,20,D,film/cast ok o parziale ma non in output campagna,,no
2015,YOUNGS JOHN SMEALLIE,BAD COMPANY,SKY CINEMA CLASSICS,20,B,cast assente in catalogo (sull'opera collegata),,no
2015,ZUCCA MARIO,Box Office 3d - Il Film Dei Film,SKY CINEMA COMEDY,20,D,film/cast ok o parziale ma non in output campagna,,no
2015,ZUCCA MARIO,In Questo Mondo Di Ladri,SKY CINEMA COMEDY,20,B,cast assente in catalogo (sull'opera collegata),,no
2016,DAVITIAN KENNETH,THE SHIELD,Sky Atlantic,20,A,episodio/serie non matchata (spesso anche mandato),,no
2016,GUILFOYLE PAUL,Amistad,TV8,20,D,film/cast ok o parziale ma non in output campagna,,no
2016,REMAR WILLIAM JAMES,FRANKLIN & BASH 4,SKY ATLANTIC,20,A,episodio/serie non matchata (spesso anche mandato),,no
2016,SEAGAL STEVEN,Infiltrato Speciale,SKY CINEMA MAX +1,20,D,film/cast ok o parziale ma non in output campagna,,no
2017,BORKAN GENE,Beverly Hills Cop - Un Piedipiatti A Beverly Hills,SKY CINEMA COMEDY,20,B,cast assente in catalogo (sull'opera collegata),,no
2017,SCHIENA ANTONIO,THE NUMBER ONE GIRL,SKY CINEMA MAX +1,20,D,film/cast ok o parziale ma non in output campagna,,no
2018,ORLANDO ILARIA,CINQUANTA SFUMATURE DI ROSSO,SKY PRIMAFILA,20,D,film/cast ok o parziale ma non in output campagna,,no
2019,ROBERTS ERIC,BLOOD RED,SKY CINEMA PASSION/ROMANCE,20,B,cast assente in catalogo (sull'opera collegata),,no
2015,NICOLAS FLORENCE,Scuola Di Ladri - Parte Seconda,SKY CINEMA COMEDY,19,D,film/cast ok o parziale ma non in output campagna,,no
2016,CAMPAGNOLA CLAUDIA,Senza Nessuna Pietà,SKY CINEMA CULT,19,D,film/cast ok o parziale ma non in output campagna,,no
2016,SEAGAL STEVEN,Sniper: Forze Speciali,SKY CINEMA UNO,19,D,film/cast ok o parziale ma non in output campagna,,no
2016,ZUCCA MARIO,PARKER,SKY CINEMA MAX +1,19,B,cast assente in catalogo (sull'opera collegata),,no
2017,OLMI CORRADO,FANTOZZI 2000 - LA CLONAZIONE,SKY CINEMA COMEDY,19,B,cast assente in catalogo (sull'opera collegata),,no
2018,BORKAN GENE,MARRIED TO THE MOB,SKY CINEMA STARS HD,19,D,film/cast ok o parziale ma non in output campagna,,no
2019,CENCIOTTI DANIELA,INNAMORATI DI ME,SKY CINEMA UNO,19,C,opera assente o non riconciliata in catalogo,,no
2015,ASSANTE ARMAND,Happy Days - La Banda Dei Fiori Di Pesco,SKY CINEMA CLASSICS,18,D,film/cast ok o parziale ma non in output campagna,,no
2015,CROCCOLO CARLO,Cose Da Pazzi,SKY CINEMA COMEDY,18,C,opera assente o non riconciliata in catalogo,,no
2015,LAMAS LORENZO,SHARKNADO 3: OH HELL NO!,SKY CINEMA MAX,18,D,film/cast ok o parziale ma non in output campagna,,no
2015,SEAGAL STEVEN,Infiltrato Speciale,SKY CINEMA MAX,18,D,film/cast ok o parziale ma non in output campagna,,no
2015,YOUNGS JOHN SMEALLIE,HOTEL COLONIAL,SKY CINEMA CULT,18,D,film/cast ok o parziale ma non in output campagna,,no
2016,FERRARA CONSUELA,Fratelli E Sorelle,SKY CINEMA CULT,18,D,film/cast ok o parziale ma non in output campagna,,no
2016,SORVINO MIRA,Quiz Show,SKY CINEMA CULT,18,D,film/cast ok o parziale ma non in output campagna,,no
2017,GUILFOYLE PAUL,AMISTAD,SKY CINEMA CULT,18,D,film/cast ok o parziale ma non in output campagna,,no
2017,GUILFOYLE PAUL,Beverly Hills Cop II,SKY CINEMA COMEDY,18,D,film/cast ok o parziale ma non in output campagna,,no
2017,REMAR WILLIAM JAMES,DJANGO UNCHAINED,SKY CINEMA HITS,18,D,cast presente; blocco mandato (dal 2023),Cast REMAR presente sull'opera,sì
2017,TANO ROCCO,Amore Oggi,SKY CINEMA COMEDY,18,D,film/cast ok o parziale ma non in output campagna,,no
2019,REMAR WILLIAM JAMES,48 HRS.,SKY CINEMA COMEDY,18,D,film/cast ok o parziale ma non in output campagna,,no
2019,YAMANOUCHI HARUHIKO,Le Avventure Acquatiche Di Steve Zissou,SKY CINEMA DUE+24,18,C,artista assente in anagrafica,,no
2015,GIUFFRE ADRIANA,Missione Eroica - I Pompieri 2,SKY CINEMA COMEDY,17,B,cast assente in catalogo (sull'opera collegata),,no
2015,GIUSTO ORNELLA,My Name Is Tanino,SKY CINEMA CULT,17,D,film/cast ok o parziale ma non in output campagna,,no
2015,GUILFOYLE PAUL,Amistad,SKY CINEMA CULT,17,D,film/cast ok o parziale ma non in output campagna,,no
2015,MINERVINI ULISSE,I Due Carabinieri,SKY CINEMA COMEDY,17,D,film/cast ok o parziale ma non in output campagna,,no
2015,OLMI CORRADO,Missione Eroica - I Pompieri 2,SKY CINEMA COMEDY,17,C,serie/opera senza episodi utili,,no
2015,SOLINAS MARISA ANNA,I Due Carabinieri,SKY CINEMA COMEDY,17,D,film/cast ok o parziale ma non in output campagna,,no
2016,LAMAS LORENZO,SHARKNADO 3: OH HELL NO!,SKY CINEMA MAX+1,17,D,film/cast ok o parziale ma non in output campagna,,no
2017,GIUFFRE ADRIANA,Sesso E Volentieri,SKY CINEMA COMEDY,17,D,film/cast ok o parziale ma non in output campagna,,no
2017,LEONI LUIGI,Sesso E Volentieri,SKY CINEMA COMEDY,17,D,film/cast ok o parziale ma non in output campagna,,no
2018,BORKAN GENE,PHILADELPHIA,SKY CINEMA STARS HD,17,D,film/cast ok o parziale ma non in output campagna,,no
2018,ROBERTS ERIC,Ossessione Senza Fine: Il Ritorno,SKY CINEMA ROMANCE,17,D,film/cast ok o parziale ma non in output campagna,,no
2015,CASTELNUOVO FRANCESCO,Il Paziente Inglese,SKY CINEMA PASSION,16,D,film/cast ok o parziale ma non in output campagna,,no
2015,DONATONE GIACINTO,La Casa Stregata,SKY CINEMA COMEDY,16,B,cast assente in catalogo (sull'opera collegata),,no
2015,DONATONE GIACINTO,S.P.Q.R. 2000 E 1/2 Anni Fa,SKY CINEMA COMEDY,16,D,film/cast ok o parziale ma non in output campagna,,no
2016,FERRARA CONSUELA,L'ARCANO INCANTATORE,SKY CINEMA CULT,16,D,film/cast ok o parziale ma non in output campagna,,no
2016,GUILFOYLE PAUL,La Notte Della Verità,SKY CINEMA PASSION,16,D,film/cast ok o parziale ma non in output campagna,,no
2016,REMAR WILLIAM JAMES,WHITE FANG,SKY CINEMA FAMILY+1,16,D,film/cast ok o parziale ma non in output campagna,,no
2017,BORKAN GENE,MARRIED TO THE MOB,SKY CINEMA CLASSICS,16,D,film/cast ok o parziale ma non in output campagna,,no
2017,DI CARMINE MAURIZIO,La Passione Di Cristo,SKY CINEMA CULT,16,B,cast assente in catalogo (sull'opera collegata),,no
2017,DONATONE GIACINTO,The Godfather: Part III,SKY CINEMA CLASSICS,16,D,film/cast ok o parziale ma non in output campagna,,no
2017,FORTI FULVIO,LA SCUOLA È FINITA,SKY CINEMA CULT,16,B,cast assente in catalogo (sull'opera collegata),,no
2017,GUILFOYLE PAUL,QUIZ SHOW,SKY CINEMA CULT,16,D,film/cast ok o parziale ma non in output campagna,,no
2017,PACE PAOLA,LA SCUOLA È FINITA,SKY CINEMA CULT,16,D,film/cast ok o parziale ma non in output campagna,,no
2017,PARE MICHAEL,SUDDENLY,SKY CINEMA MAX +1,16,D,film/cast ok o parziale ma non in output campagna,,no
2017,PARE MICHAEL,THE VATICAN TAPES,SKY CINEMA MAX COLLECTION,16,D,film/cast ok o parziale ma non in output campagna,,no
2017,REMAR WILLIAM JAMES,FRANKLIN & BASH 4,SKY ATLANTIC,16,A,episodio/serie non matchata (spesso anche mandato),,no
2017,ROBERTS ERIC,Ossessione Senza Fine,SKY CINEMA PASSION,16,D,film/cast ok o parziale ma non in output campagna,,no
2017,TANO ROCCO,ECSTASY,Cielo,16,D,film/cast ok o parziale ma non in output campagna,,no
2017,YOUNGS JOHN SMEALLIE,The Godfather: Part III,SKY CINEMA CLASSICS,16,D,film/cast ok o parziale ma non in output campagna,,no
2018,PARE MICHAEL,Philadelphia Experiment,SKY CINEMA SCI-FI,16,D,film/cast ok o parziale ma non in output campagna,,no
2019,FERRARA DIANELLA,SUSPIRIA,SKY CINEMA HITS/COLLECTION,16,B,cast assente in catalogo (sull'opera collegata),,no
2019,WIRTH WILLIAM EDWARD,BEING FLYNN,SKY CINEMA DUE+24,16,D,film/cast ok o parziale ma non in output campagna,,no
2015,GIUFFRE ADRIANA,Innamorato Pazzo,SKY CINEMA COMEDY,15,B,cast assente in catalogo (sull'opera collegata),,no
2015,OLMI CORRADO,Innamorato Pazzo,SKY CINEMA COMEDY,15,B,cast assente in catalogo (sull'opera collegata),,no
2015,SEAGAL STEVEN,Machete,SKY CINEMA MAX,15,D,film/cast ok o parziale ma non in output campagna,,no
2015,SNEL LEONTINE MARGHERITE,MANUALE D'AMORE,SKY CINEMA PASSION,15,D,film/cast ok o parziale ma non in output campagna,,no
2016,PALME BEATRICE,Pasolini,SKY CINEMA CULT,15,B,cast assente in catalogo (sull'opera collegata),,no
2018,PARE MICHAEL,SUDDENLY,SKY CINEMA ACTION,15,D,film/cast ok o parziale ma non in output campagna,,no
2015,FERRARA CONSUELA,Il Caso Moro,SKY CINEMA CULT,14,D,film/cast ok o parziale ma non in output campagna,,no
2015,ROBERTS ERIC,Heaven,SKY CINEMA PASSION,14,D,film/cast ok o parziale ma non in output campagna,,no
2015,SEAGAL STEVEN,A GOOD MAN,SKY CINEMA MAX,14,D,film/cast ok o parziale ma non in output campagna,,no
2016,AMOROSINO LUCA,Boris,Sky Mario HD,14,A,episodio/serie non matchata (spesso anche mandato),,no
2016,AMOROSINO LUCA,Boris 3,Sky Mario HD,14,A,episodio/serie non matchata (spesso anche mandato),,no
2016,LAMAS LORENZO,La Dea Del Successo,SKY CINEMA PASSION,14,D,film/cast ok o parziale ma non in output campagna,,no
2016,ZUCCA MARIO,BIG STONE GAP/I SEGRETI DI BIG STONE GAP,SKY CINEMA UNO,14,D,film/cast ok o parziale ma non in output campagna,,no
2017,BORKAN GENE,PHILADELPHIA,SKY CINEMA CULT,14,D,film/cast ok o parziale ma non in output campagna,,no
2017,DAVITIAN KENNETH,THE SHIELD,SKY ATLANTIC,14,A,episodio/serie non matchata (spesso anche mandato),,no
2018,PARE MICHAEL,COOL DOG,SKY CINEMA FAMILY+1,14,D,film/cast ok o parziale ma non in output campagna,,no
2016,ASSANTE ARMAND,Il Verdetto Della Paura,SKY CINEMA MAX +1,13,D,film/cast ok o parziale ma non in output campagna,,no
2016,GIUFFRE ADRIANA,La Gatta Da Pelare,SKY CINEMA COMEDY,13,D,film/cast ok o parziale ma non in output campagna,,no
2016,ROBERTS ERIC,National Security - Sei In Buone Mani,SKY CINEMA COMEDY,13,D,film/cast ok o parziale ma non in output campagna,,no
2017,DONATONE GIACINTO,Sono Un Fenomeno Paranormale,SKY CINEMA CLASSICS,13,D,film/cast ok o parziale ma non in output campagna,,no
2017,GUILFOYLE PAUL,La Notte Della Verità,SKY CINEMA PASSION,13,D,film/cast ok o parziale ma non in output campagna,,no
2017,LAMAS LORENZO,La Dea Del Successo,SKY CINEMA PASSION,13,D,film/cast ok o parziale ma non in output campagna,,no
2015,ASSANTE ARMAND,FATAL INSTINCT,SKY CINEMA MAX,12,D,film/cast ok o parziale ma non in output campagna,,no
2015,MCNAMARA WILLIAM WEST,CHASERS,SKY CINEMA COMEDY,12,D,film/cast ok o parziale ma non in output campagna,,no
2015,ORLANDO ILARIA,GLI STAGISTI,SKY CINEMA HITS,12,B,cast assente in catalogo (sull'opera collegata),,no
2015,SEAGAL STEVEN,THE PATRIOT,SKY CINEMA MAX,12,D,film/cast ok o parziale ma non in output campagna,,no
2016,GUILFOYLE PAUL,CELTIC PRIDE,SKY CINEMA COMEDY,12,D,film/cast ok o parziale ma non in output campagna,,no
2016,PARE MICHAEL,Direct Contact,SKY CINEMA MAX +1,12,D,film/cast ok o parziale ma non in output campagna,,no
2018,DI CARMINE MAURIZIO,La Passione Di Cristo,SKY CINEMA HITS,12,B,cast assente in catalogo (sull'opera collegata),,no
2018,GUILFOYLE PAUL,Il Caso Spotlight,SKY CINEMA HITS,12,D,film/cast ok o parziale ma non in output campagna,,no
2018,TANO ROCCO,ECSTASY,CIELO,12,D,film/cast ok o parziale ma non in output campagna,,no
2019,DAVITIAN KENNETH,THE ARTIST,SKY CINEMA OSCAR,12,D,film/cast ok o parziale ma non in output campagna,,no
2019,REMAR WILLIAM JAMES,DJANGO UNCHAINED,TV8,12,D,cast presente; blocco mandato (dal 2023),Cast REMAR presente sull'opera,sì
2019,REMAR WILLIAM JAMES,RATATOUILLE,SKY CINEMA FAMILY,12,C,opera assente o non riconciliata in catalogo,,no
2019,REMAR WILLIAM JAMES,X-Men - L'inizio,TV8,12,D,film/cast ok o parziale ma non in output campagna,,no
2015,MANTELLI FRANCA,San Babila Ore 20: Un Delitto Inutile,SKY CINEMA CLASSICS,11,D,film/cast ok o parziale ma non in output campagna,,no
2016,MONITILLO RICCARDO MONITILLO ROCCO RICCARDO,Ti Ricordi Di Me?,SKY CINEMA PASSION,11,D,artista esiste (nome cella mal formattato),In anagrafica: MONITILLO ROCCO RICCARDO,sì
2018,ORSINI CIRO,THE NUMBER ONE GIRL,SKY CINEMA MAX,11,D,film/cast ok o parziale ma non in output campagna,,no
2019,ZUCCA MARIO,PARKER,SKY CINEMA UNO,11,B,cast assente in catalogo (sull'opera collegata),,no
2015,BADESCU RAMONA,LE NUOVE COMICHE,SKY CINEMA COMEDY,10,D,film/cast ok o parziale ma non in output campagna,,no
2017,GUILFOYLE PAUL,CELTIC PRIDE,SKY CINEMA COMEDY,10,D,film/cast ok o parziale ma non in output campagna,,no
2017,LA CAYENNE JACK LONGONI ALBERTO ANDREA,Yuppi Du,SKY CINEMA COMEDY,10,C,artista assente in anagrafica,,no
2017,ORSINI CIRO,THE NUMBER ONE GIRL,SKY CINEMA MAX +1,10,D,film/cast ok o parziale ma non in output campagna,,no
2017,REMAR WILLIAM JAMES,DRUGSTORE COWBOY,SKY CINEMA CULT,10,D,film/cast ok o parziale ma non in output campagna,,no
2019,DAVITIAN KENNETH,MEET THE SPARTANS,TV8,10,D,film/cast ok o parziale ma non in output campagna,,no
2019,REMAR WILLIAM JAMES,FRANKLIN & BASH,SKY ATLANTIC,10,A,episodio/serie non matchata (spesso anche mandato),,no
2019,REMAR WILLIAM JAMES,FRANKLIN & BASH 4,SKY ATLANTIC+1,10,A,episodio/serie non matchata (spesso anche mandato),,no
2019,SINGH MOSE,DANCER,SKY ARTE,10,D,film/cast ok o parziale ma non in output campagna,,no
2019,SORVINO MIRA,Stuber - Autista D'assalto,PRIMAFILA,10,D,film/cast ok o parziale ma non in output campagna,,no
2019,ZUCCA MARIO,IN QUESTO MONDO DI LADRI,TV8,10,B,cast assente in catalogo (sull'opera collegata),,no
2015,CAMPESE RENATO,C'era Un Cinese In Coma,SKY CINEMA COMEDY,9,C,opera assente o non riconciliata in catalogo,,no
2015,CROCCOLO CARLO,Uomini Uomini Uomini,SKY CINEMA COMEDY,9,C,opera assente o non riconciliata in catalogo,,no
2015,FORTI FULVIO,LA SCUOLA È FINITA,SKY CINEMA UNO,9,B,cast assente in catalogo (sull'opera collegata),,no
2015,LAMAS LORENZO,La Dea Del Successo,SKY CINEMA PASSION,9,D,film/cast ok o parziale ma non in output campagna,,no
2015,MARCHI ROSAURA CIMMINO MARIA ROSARIA MERCEDES,C'era Un Cinese In Coma,SKY CINEMA COMEDY,9,C,artista assente in anagrafica,,no
2015,PACE PAOLA,LA SCUOLA È FINITA,SKY CINEMA UNO,9,D,film/cast ok o parziale ma non in output campagna,,no
2016,CROCCOLO CARLO,Uomini Uomini Uomini,SKY CINEMA COMEDY,9,C,opera assente o non riconciliata in catalogo,,no
2016,GUILFOYLE PAUL,QUIZ SHOW,SKY CINEMA CULT,9,D,film/cast ok o parziale ma non in output campagna,,no
2017,GIOIELLI LORENZO,Mia Madre,SKY CINEMA CULT,9,B,cast assente in catalogo (sull'opera collegata),,no
2017,ZUCCA MARIO,SAMBA,SKY CINEMA PASSION,9,D,film/cast ok o parziale ma non in output campagna,,no
2018,AUTUORO CRISTIAN,MA TU DI CHE SEGNO 6?,SKY CINEMA UNO,9,B,cast assente in catalogo (sull'opera collegata),,no
2015,ASSANTE ARMAND,Il Verdetto Della Paura,SKY CINEMA MAX,8,D,film/cast ok o parziale ma non in output campagna,,no
2015,DAVITIAN KENNETH,A MAN APART,SKY CINEMA MAX,8,A,episodio/serie non matchata (spesso anche mandato),,no
2015,GUILFOYLE PAUL,CELTIC PRIDE,SKY CINEMA HITS,8,D,film/cast ok o parziale ma non in output campagna,,no
2015,GUILFOYLE PAUL,La Notte Della Verità,SKY CINEMA PASSION,8,D,film/cast ok o parziale ma non in output campagna,,no
2015,REMAR WILLIAM JAMES,FRANKLIN & BASH 4,Sky Atlantic,8,A,episodio/serie non matchata (spesso anche mandato),,no
2015,SORVINO MIRA,Alla Ricerca Di Mamma Natale,Sky Cinema Christmas,8,D,film/cast ok o parziale ma non in output campagna,,no
2016,BARBERO FRANCO,1992,Sky Atlantic,8,A,episodio/serie non matchata (spesso anche mandato),,no
2016,GIUFFRE ADRIANA,Teste Di Quoio,SKY CINEMA COMEDY,8,D,film/cast ok o parziale ma non in output campagna,,no
2016,LUOTTO ANDRE PAUL,Teste Di Quoio,SKY CINEMA COMEDY,8,D,film/cast ok o parziale ma non in output campagna,,no
2016,MEZZETTI MATTEI DANILO,Il Caso Moro,SKY CINEMA CULT,8,D,film/cast ok o parziale ma non in output campagna,,no
2016,OLMI CORRADO,Teste Di Quoio,SKY CINEMA COMEDY,8,D,film/cast ok o parziale ma non in output campagna,,no
2018,DAVITIAN KENNETH,SIX FEET UNDER 3,SKY ATLANTIC+1,8,A,episodio/serie non matchata (spesso anche mandato),,no
2018,DAVITIAN KENNETH,THE SHIELD,SKY ATLANTIC+1,8,A,episodio/serie non matchata (spesso anche mandato),,no
2018,FARGAS JUAN ANTONIO,Whore,CIELO,8,D,film/cast ok o parziale ma non in output campagna,,no
2018,LAMAS LORENZO,La Dea Del Successo,SKY CINEMA PASSION/ROMANCE,8,D,film/cast ok o parziale ma non in output campagna,,no
2018,REMAR WILLIAM JAMES,FRANKLIN & BASH 4,SKY ATLANTIC+1,8,A,episodio/serie non matchata (spesso anche mandato),,no
2018,REMAR WILLIAM JAMES,LAP DANCE,SKY CINEMA PASSION/ROMANCE,8,D,film/cast ok o parziale ma non in output campagna,,no
2018,ROBERTS ERIC,BLOOD RED,SKY CINEMA ROMANCE,8,B,cast assente in catalogo (sull'opera collegata),,no
2019,DAVITIAN KENNETH,SIX FEET UNDER 3,SKY ATLANTIC,8,A,episodio/serie non matchata (spesso anche mandato),,no
2019,FARGAS JUAN ANTONIO,HOUSE OF LIES 3,SKY ATLANTIC,8,A,episodio/serie non matchata (spesso anche mandato),,no
2019,REMAR WILLIAM JAMES,La Ragazza Della Porta Accanto,TV8,8,D,film/cast ok o parziale ma non in output campagna,,no
2016,GIUFFRE ADRIANA,Missione Eroica - I Pompieri 2,SKY CINEMA COMEDY,7,B,cast assente in catalogo (sull'opera collegata),,no
2016,MANTELLI FRANCA,San Babila Ore 20: Un Delitto Inutile,SKY CINEMA CLASSICS,7,D,film/cast ok o parziale ma non in output campagna,,no
2016,NICOLAS FLORENCE,Scuola Di Ladri - Parte Seconda,SKY CINEMA COMEDY,7,D,film/cast ok o parziale ma non in output campagna,,no
2016,OLMI CORRADO,Missione Eroica - I Pompieri 2,SKY CINEMA COMEDY,7,C,serie/opera senza episodi utili,,no
2017,CETTI MONICA,LA GRANDE BELLEZZA - VERSIONE INTEGRALE,Sky Cinema Oscar,7,C,opera assente o non riconciliata in catalogo,,no
2017,GIOIELLI LORENZO,LA GRANDE BELLEZZA - VERSIONE INTEGRALE,Sky Cinema Oscar,7,C,opera assente o non riconciliata in catalogo,,no
2018,TANI LUIGI,AMICI AHRARARA,SKY CINEMA COMEDY,7,D,film/cast ok o parziale ma non in output campagna,,no
2015,ARCIERI MAURIZIO,Perduto Amor,Sky Arte,6,B,cast assente in catalogo (sull'opera collegata),,no
2015,BARBERO FRANCO,1992,Sky Atlantic,6,A,episodio/serie non matchata (spesso anche mandato),,no
2015,PALME BEATRICE,Pasolini,SKY CINEMA CULT,6,B,cast assente in catalogo (sull'opera collegata),,no
2016,BADESCU RAMONA,LE NUOVE COMICHE,SKY CINEMA COMEDY,6,D,film/cast ok o parziale ma non in output campagna,,no
2016,CAMPESE RENATO,C'era Un Cinese In Coma,SKY CINEMA COMEDY,6,C,opera assente o non riconciliata in catalogo,,no
2016,MARCHI ROSAURA CIMMINO MARIA ROSARIA MERCEDES,C'era Un Cinese In Coma,SKY CINEMA COMEDY,6,C,artista assente in anagrafica,,no
2016,SCHIENA ANTONIO,Wake Of Death,Cielo,6,D,film/cast ok o parziale ma non in output campagna,,no
2016,YOUNGS JOHN SMEALLIE,Il Padrino Parte III,Sky Cinema Collection,6,D,film/cast ok o parziale ma non in output campagna,,no
2017,GUILFOYLE PAUL,IN DREAMS,SKY CINEMA MAX +1,6,D,film/cast ok o parziale ma non in output campagna,,no
2017,NICOLAS FLORENCE,BLACK VENUS,Cielo,6,D,film/cast ok o parziale ma non in output campagna,,no
2017,ORLANDO ILARIA,BAD TEACHER - UNA CATTIVA MAESTRA,TV8,6,D,film/cast ok o parziale ma non in output campagna,,no
2017,PARE MICHAEL,Direct Contact,SKY CINEMA MAX +1,6,D,film/cast ok o parziale ma non in output campagna,,no
2018,MCNAMARA WILLIAM WEST,COPYCAT,TV8,6,D,film/cast ok o parziale ma non in output campagna,,no
2018,REMAR WILLIAM JAMES,Le Verità Nascoste,TV8,6,D,film/cast ok o parziale ma non in output campagna,,no
2018,REMAR WILLIAM JAMES,X-Men - L'inizio,TV8,6,D,film/cast ok o parziale ma non in output campagna,,no
2018,ROBERTS ERIC,ENTOURAGE 5,SKY ATLANTIC +1,6,A,episodio/serie non matchata (spesso anche mandato),,no
2018,SINGH MOSE,Dancer,SKY ARTE,6,D,film/cast ok o parziale ma non in output campagna,,no
2019,BORKAN GENE,Bound - Torbido Inganno,TV8,6,D,film/cast ok o parziale ma non in output campagna,,no
2019,CASTELLUCCIO FEDERICO,La Pantera Rosa 2,SKY CINEMA COMEDY,6,B,cast assente in catalogo (sull'opera collegata),,no
2019,FARGAS JUAN ANTONIO,WHORE,CIELO,6,D,film/cast ok o parziale ma non in output campagna,,no
2019,ORLANDO ILARIA,BAD TEACHER - UNA CATTIVA MAESTRA,TV8,6,D,film/cast ok o parziale ma non in output campagna,,no
2019,ROBERTS ERIC,RUNAWAY TRAIN,SKY CINEMA MAX/ACTION,6,D,film/cast ok o parziale ma non in output campagna,,no
2019,TANO ROCCO,ECSTASY,CIELO,6,D,film/cast ok o parziale ma non in output campagna,,no
2019,YAMANOUCHI HARUHIKO,IL PESCE INNAMORATO,TV8,6,C,artista assente in anagrafica,,no
2015,DONATONE GIACINTO,Sono Un Fenomeno Paranormale,SKY CINEMA CLASSICS,5,D,film/cast ok o parziale ma non in output campagna,,no
2015,SEAGAL STEVEN,Force Of Execution,Cielo,5,D,cast presente; possibile gap anno/campagne,Cast SEAGAL presente,sì
2016,MINERVINI ULISSE,I Due Carabinieri,SKY CINEMA COMEDY,5,D,film/cast ok o parziale ma non in output campagna,,no
2016,SEAGAL STEVEN,TRUE JUSTICE,Cielo,5,A,episodio/serie non matchata (spesso anche mandato),,no
2016,SOLINAS MARISA ANNA,I Due Carabinieri,SKY CINEMA COMEDY,5,D,film/cast ok o parziale ma non in output campagna,,no
2017,ASSANTE ARMAND,Il Verdetto Della Paura,SKY CINEMA MAX COLLECTION,5,D,film/cast ok o parziale ma non in output campagna,,no
2018,ORLANDO ILARIA,GLI STAGISTI,TV8,5,B,cast assente in catalogo (sull'opera collegata),,no
2019,ROBERTS ERIC,ENTOURAGE 5,SKY ATLANTIC,5,A,episodio/serie non matchata (spesso anche mandato),,no
2015,GUILFOYLE PAUL,In Dreams,SKY CINEMA MAX,4,D,film/cast ok o parziale ma non in output campagna,,no
2015,LA CAYENNE JACK LONGONI ALBERTO ANDREA,Yuppi Du,SKY CINEMA HITS,4,C,artista assente in anagrafica,,no
2016,DAVITIAN KENNETH,SIX FEET UNDER 3,Sky Atlantic,4,A,episodio/serie non matchata (spesso anche mandato),,no
2016,FARGAS JUAN ANTONIO,WHORE,Cielo,4,D,film/cast ok o parziale ma non in output campagna,,no
2016,FERRARA CONSUELA,Il Caso Moro,SKY CINEMA CULT,4,D,film/cast ok o parziale ma non in output campagna,,no
2016,ORLANDO ILARIA,BAD TEACHER - UNA CATTIVA MAESTRA,TV8,4,D,film/cast ok o parziale ma non in output campagna,,no
2016,ROBERTS ERIC,ENTOURAGE 5,Sky Atlantic,4,A,episodio/serie non matchata (spesso anche mandato),,no
2016,YOUNGS JOHN SMEALLIE,SHORTCUT TO HAPPINESS,TV8,4,B,cast assente in catalogo (sull'opera collegata),,no
2017,GIUFFRE ADRIANA,Teste Di Quoio,SKY CINEMA COMEDY,4,D,film/cast ok o parziale ma non in output campagna,,no
